machine_id,n_points,duration_s,duration_days,avg_interval_s,cpu_mean,cpu_std,cpu_cv,cpu_p5,cpu_p25,cpu_p50,cpu_p75,cpu_p95,cpu_p99,mem_mean,mem_std,net_in_mean,net_out_mean,disk_mean,mkpi_mean,pct_idle,pct_low,pct_mid,pct_high,burstiness,spike_count,trend_per_hour,max_gap_hours,n_long_gaps,profile
m_1979,61606,691180,8.0,101,39.32,15.59,0.396,21,28,36,46,68,92,91.33,3.42,40.92,31.05,7.96,0.79,0.0,29.0,66.2,4.8,1.89,8,0.0691,5.6,63,stable_mid
m_1980,62175,688520,7.97,100,0.3,0.46,1.537,0,0,0,1,1,1,5.0,0.0,0.02,0.02,0.0,0.09,100.0,0.0,0.0,0.0,1.0,0,0.0027,5.4,54,bursty
m_1981,63630,686410,7.94,97,43.19,11.6,0.269,27,34,42,51,63,76,91.18,3.81,48.88,37.55,8.42,0.71,0.0,10.8,87.2,2.0,1.5,3,0.0051,5.6,36,stable_mid
m_1982,61732,691190,8.0,101,36.58,14.35,0.392,18,26,34,44,62,90,90.14,4.49,41.91,31.0,6.13,0.61,0.0,34.9,62.3,2.7,1.82,4,0.0541,8.9,39,stable_mid
m_1983,61393,687910,7.96,101,34.5,12.9,0.374,17,25,33,42,58,72,90.05,4.45,40.32,31.36,3.68,0.63,0.0,39.7,59.0,1.3,1.76,5,0.0338,5.7,81,stable_mid
m_1984,60853,682780,7.9,101,39.0,10.98,0.282,23,31,38,46,58,70,91.69,3.5,51.09,40.44,6.14,1.01,0.0,19.8,79.1,1.1,1.53,0,0.0218,5.5,63,stable_mid
m_1985,62264,683860,7.92,99,34.75,12.42,0.357,18,25,33,42,57,71,89.82,4.65,43.11,32.46,5.32,0.51,0.0,38.9,60.0,1.1,1.73,3,0.0174,5.4,62,stable_mid
m_1986,62388,691170,8.0,100,31.18,16.48,0.529,11,20,28,39,59,93,82.02,18.0,11.33,7.94,5.51,0.6,0.1,53.3,43.1,3.5,2.11,18,0.0038,5.7,54,stable_mid
m_1987,63008,691190,8.0,99,44.08,11.37,0.258,28,35,42,52,64,76,91.49,3.43,47.28,40.14,9.25,0.84,0.0,7.3,90.5,2.2,1.52,9,0.0112,5.6,45,stable_mid
m_1988,59292,684610,7.92,104,40.08,12.19,0.304,24,31,38,48,62,74,91.76,3.44,45.18,36.86,6.67,0.75,0.0,20.2,78.0,1.8,1.63,7,0.0341,6.8,60,stable_mid
m_1989,62652,691190,8.0,99,37.64,13.15,0.349,20,28,36,46,61,74,88.48,7.4,35.14,24.34,6.71,0.57,0.1,30.3,67.9,1.8,1.69,10,0.0631,7.6,36,stable_mid
m_1990,59945,684410,7.92,103,35.31,16.63,0.471,16,23,32,43,67,93,90.47,3.89,41.25,29.12,5.72,0.51,0.0,42.2,53.2,4.6,2.09,11,0.0614,5.6,54,stable_mid
m_1991,60076,691190,8.0,104,39.52,13.36,0.338,21,29,38,48,64,78,89.76,4.82,49.54,39.34,7.64,0.72,0.0,25.2,72.4,2.4,1.68,6,-0.0334,6.3,54,stable_mid
m_1992,61155,686050,7.94,101,41.0,12.92,0.315,23,31,39,50,65,75,91.82,3.32,41.46,35.21,9.25,0.57,0.0,20.7,76.9,2.5,1.67,10,0.02,5.7,54,stable_mid
m_1993,62240,691180,8.0,100,3.55,0.65,0.183,3,3,3,4,5,5,91.18,2.45,24.37,19.13,1.01,0.0,93.3,6.7,0.0,0.0,1.67,0,0.003,5.6,46,idle_pure
m_1994,62019,691190,8.0,100,33.09,12.49,0.377,17,24,31,40,56,74,91.23,3.88,41.22,32.37,7.57,0.42,0.0,46.1,52.5,1.4,1.81,66,0.0118,5.6,36,stable_mid
m_1995,60845,684040,7.92,101,43.35,11.37,0.262,27,35,42,51,64,75,91.82,3.14,47.52,38.71,8.32,0.9,0.0,9.2,88.7,2.0,1.52,0,0.018,5.5,65,stable_mid
m_1996,62878,691190,8.0,99,36.72,13.25,0.361,18,27,35,45,60,77,89.11,6.46,34.63,24.24,6.28,0.58,0.0,32.3,65.7,1.9,1.71,168,0.0786,5.8,39,stable_mid
m_1997,62674,691190,8.0,99,39.64,12.46,0.314,22,30,38,48,62,75,89.19,5.35,45.64,37.21,3.74,0.45,0.0,22.7,75.4,1.8,1.63,1,0.0174,5.7,54,stable_mid
m_1998,58774,691190,8.0,106,7.32,15.73,2.148,0,0,0,0,43,59,18.48,32.02,0.24,0.19,0.77,0.0,80.0,5.8,13.6,0.5,43.0,22,0.1998,13.8,36,bursty
m_1999,59713,691190,8.0,104,46.16,11.92,0.258,30,37,44,54,68,78,88.57,5.76,49.22,41.89,8.98,0.8,0.0,4.7,91.3,4.0,1.55,46,-0.0025,5.4,72,stable_mid
m_2000,61856,686110,7.94,100,52.22,11.02,0.211,35,44,51,60,71,78,88.75,4.83,52.9,46.95,9.79,1.01,0.0,0.6,92.9,6.5,1.39,5,-0.007,6.3,56,stable_high
m_2001,63660,688790,7.97,97,17.74,4.28,0.241,11,13,19,21,23,25,94.57,1.62,31.0,31.13,3.28,1.0,0.0,100.0,0.0,0.0,1.21,0,0.0162,5.6,27,stable_mid
m_2002,61419,691190,8.0,101,33.06,15.7,0.475,15,22,30,40,60,93,91.23,3.41,42.06,33.07,5.19,0.36,0.0,49.2,47.4,3.4,2.0,8,0.0632,5.5,56,stable_mid
m_2003,60768,689980,7.99,102,41.2,12.71,0.309,24,31,39,50,64,76,87.02,6.28,47.48,39.01,10.8,0.71,0.0,19.3,78.4,2.3,1.64,14,0.0356,5.7,81,stable_mid
m_2004,58931,685120,7.93,105,27.21,12.59,0.463,11,18,25,34,50,67,90.73,3.78,38.28,26.28,4.62,0.65,0.1,63.2,36.0,0.8,2.0,19,-0.0257,5.4,89,stable_mid
m_2005,61604,691180,8.0,101,45.12,12.17,0.27,28,36,43,53,69,76,91.55,3.3,44.26,34.35,7.94,0.56,0.0,7.1,88.4,4.5,1.6,14,0.0232,5.6,63,stable_mid
m_2006,60974,687960,7.96,101,42.8,11.84,0.277,26,34,41,50,64,75,91.61,3.33,42.34,33.33,7.07,0.38,0.0,11.8,85.7,2.5,1.56,61,0.018,5.5,53,stable_mid
m_2007,60432,691190,8.0,103,50.92,10.82,0.212,34,43,50,59,69,76,90.95,3.61,47.74,41.75,8.14,0.8,0.0,1.4,94.1,4.4,1.38,2,-0.0037,5.7,63,stable_high
m_2008,59977,689620,7.98,103,45.09,11.29,0.25,29,37,44,53,65,76,91.25,3.77,43.74,34.52,8.55,0.73,0.0,6.7,91.0,2.3,1.48,29,0.0026,5.6,68,stable_mid
m_2009,61764,691180,8.0,101,30.75,13.05,0.425,14,21,29,39,55,69,90.23,4.33,39.88,28.44,3.18,0.84,0.0,52.9,46.2,1.0,1.9,9,-0.0055,5.9,55,stable_mid
m_2010,59646,691180,8.0,104,33.57,12.44,0.371,17,24,31,41,57,72,90.17,4.21,42.21,32.21,5.81,0.52,0.0,43.5,55.3,1.2,1.84,12,-0.0001,7.0,55,stable_mid
m_2011,62518,686100,7.94,99,30.88,12.54,0.406,14,21,29,38,54,69,87.97,6.39,49.17,35.62,5.35,0.5,0.0,52.3,46.8,0.9,1.86,8,-0.0202,5.4,54,stable_mid
m_2012,61064,691190,8.0,102,36.7,16.43,0.448,17,25,33,45,70,90,88.2,5.38,49.21,35.86,12.1,0.45,0.0,38.9,56.1,5.0,2.12,41,0.0771,5.7,54,stable_mid
m_2013,60356,691190,8.0,103,43.52,12.88,0.296,27,34,41,51,66,88,91.96,3.33,45.17,39.58,27.48,0.6,0.0,11.1,85.3,3.6,1.61,35,0.0255,5.6,45,stable_mid
m_2014,64627,691190,8.0,96,37.09,14.96,0.403,19,27,34,44,65,90,90.0,4.49,50.25,38.37,5.96,0.42,0.0,34.0,61.9,4.1,1.91,6,0.0633,5.5,11,stable_mid
m_2015,62936,690670,7.99,99,31.53,12.2,0.387,15,23,30,39,53,69,90.69,3.57,38.53,27.93,5.18,0.71,0.0,49.0,50.0,0.9,1.77,10,0.011,5.7,54,stable_mid
m_2016,61085,691070,8.0,102,31.64,12.99,0.411,14,22,30,39,55,71,90.75,3.63,39.5,27.99,5.29,0.53,0.0,49.2,49.6,1.1,1.83,27,0.0097,5.5,72,stable_mid
m_2017,59973,691190,8.0,104,30.26,12.91,0.427,13,20,29,38,54,69,91.34,3.35,37.16,26.13,4.86,0.58,0.0,52.8,46.2,1.0,1.86,6,0.0207,5.6,72,stable_mid
m_2018,57156,689980,7.99,109,35.81,13.38,0.374,18,26,34,44,60,75,91.38,3.61,42.95,33.19,7.69,0.45,0.0,37.0,61.4,1.6,1.76,68,0.0349,7.3,79,stable_mid
m_2019,63606,691010,8.0,98,35.32,13.21,0.374,18,26,33,42,60,79,90.47,4.06,36.9,26.9,6.74,0.4,0.0,38.2,59.7,2.1,1.82,60,0.0153,5.5,28,stable_mid
m_2020,60196,682690,7.9,102,36.21,13.08,0.361,18,26,34,44,60,77,91.83,3.33,42.33,32.54,6.85,0.39,0.0,34.3,63.9,1.8,1.76,119,-0.0365,7.2,63,stable_mid
m_2021,60526,691190,8.0,103,32.47,12.79,0.394,16,23,30,40,56,72,90.91,4.15,42.32,30.68,5.64,0.43,0.0,47.8,51.1,1.2,1.87,11,0.0068,5.8,73,stable_mid
m_2022,64298,691190,8.0,97,36.03,14.54,0.404,17,25,34,44,62,87,88.27,5.59,44.57,34.85,5.79,0.52,0.0,37.2,59.8,3.0,1.82,21,0.0232,5.7,18,stable_mid
m_2023,61596,689110,7.98,101,44.73,12.69,0.284,27,35,43,53,67,78,90.22,4.38,52.34,43.68,8.23,0.66,0.0,10.2,86.3,3.5,1.56,19,-0.0041,5.4,42,stable_mid
m_2024,63313,691190,8.0,98,31.67,12.93,0.408,15,22,30,40,55,72,89.74,4.36,36.1,26.43,5.82,0.58,0.0,49.2,49.6,1.2,1.83,7,0.002,5.6,43,stable_mid
m_2025,61898,689630,7.98,100,34.36,14.55,0.423,17,24,31,41,60,93,90.97,3.57,43.91,34.78,6.32,0.28,0.0,43.6,53.4,3.0,1.94,37,0.0359,5.6,37,stable_mid
m_2026,59916,673030,7.79,101,41.07,11.78,0.287,25,33,39,48,62,77,91.08,3.75,45.52,39.26,3.65,0.3,0.0,14.8,82.8,2.4,1.59,21,0.0166,5.7,54,stable_mid
m_2027,62354,691190,8.0,100,39.12,16.48,0.421,20,27,36,47,70,95,92.08,2.98,41.14,31.6,6.77,0.5,0.0,30.9,63.9,5.2,1.94,52,0.0491,5.5,29,stable_mid
m_2028,61315,687960,7.96,101,39.02,13.84,0.355,21,28,37,48,65,80,85.68,8.77,46.22,36.48,9.47,0.52,0.0,28.2,68.9,3.0,1.76,67,0.0018,5.8,48,stable_mid
m_2029,59220,672880,7.79,102,43.91,12.98,0.295,26,34,42,52,68,80,92.13,2.97,39.28,29.69,8.16,0.62,0.0,12.3,83.6,4.1,1.62,174,0.0063,5.6,51,stable_mid
m_2030,63929,691190,8.0,97,45.76,12.13,0.265,29,36,44,54,69,78,91.36,4.13,39.95,36.1,9.89,0.71,0.0,5.8,89.8,4.4,1.57,0,-0.0285,5.5,27,stable_mid
m_2031,61557,691190,8.0,101,37.79,16.3,0.431,19,26,34,45,68,94,92.25,3.01,40.4,31.75,8.61,0.65,0.0,35.4,59.8,4.8,2.0,2,0.083,5.6,54,stable_mid
m_2032,63138,687770,7.96,98,32.06,12.82,0.4,15,22,30,40,55,70,90.75,3.68,39.38,27.84,5.48,0.51,0.0,47.6,51.4,1.0,1.83,8,0.0045,5.6,45,stable_mid
m_2033,60604,691180,8.0,103,49.74,11.22,0.226,33,41,49,58,69,77,88.58,6.45,46.57,39.3,14.9,0.57,0.0,1.5,94.0,4.5,1.41,8,0.0152,5.4,80,stable_mid
m_2034,60785,691180,8.0,102,36.14,11.84,0.328,21,27,34,43,58,75,91.08,3.98,47.71,35.14,7.7,0.63,0.0,32.6,65.9,1.5,1.71,7,0.0087,6.9,45,stable_mid
m_2035,62072,691190,8.0,100,41.4,12.56,0.303,24,32,40,49,65,79,89.71,5.43,49.93,41.58,10.28,0.56,0.0,17.4,79.7,3.0,1.62,46,0.0048,5.6,66,stable_mid
m_2036,61763,691190,8.0,101,48.09,12.37,0.257,29,39,47,57,69,77,88.43,5.74,48.55,41.13,11.25,0.77,0.0,5.3,90.2,4.5,1.47,4,0.0034,5.7,49,stable_mid
m_2037,62129,690520,7.99,100,41.24,13.93,0.338,23,31,39,48,66,91,91.27,3.92,44.86,34.72,7.29,0.69,0.0,19.4,76.7,3.9,1.69,10,0.0376,5.7,29,stable_mid
m_2038,62666,687910,7.96,99,41.59,11.28,0.271,24,34,41,49,61,71,92.35,3.32,35.52,29.82,10.01,0.84,0.0,14.7,84.1,1.1,1.49,13,-0.0061,6.4,36,stable_mid
m_2039,61336,691000,8.0,101,50.12,9.92,0.198,33,43,51,57,66,75,90.71,3.7,47.99,42.34,13.9,0.45,0.0,1.6,96.1,2.3,1.29,15,0.0039,8.1,45,stable_high
m_2040,60887,672880,7.79,99,34.15,15.78,0.462,16,23,31,41,62,92,86.2,12.17,39.91,29.51,5.53,0.39,0.0,45.9,50.1,4.1,2.0,6,0.0578,5.6,46,stable_mid
m_2041,60828,691190,8.0,102,38.8,13.53,0.349,21,29,36,47,65,79,91.12,3.44,39.64,28.18,6.66,0.3,0.0,27.0,69.7,3.3,1.81,281,0.0176,5.6,45,stable_mid
m_2042,61839,684290,7.92,100,32.52,13.15,0.404,16,23,30,40,57,74,89.72,4.49,41.18,29.35,5.21,0.76,0.0,47.9,50.7,1.4,1.9,29,0.0196,5.7,54,stable_mid
m_2043,63426,691190,8.0,98,32.9,12.6,0.383,15,24,31,40,55,72,90.73,3.73,41.55,32.0,4.91,0.41,0.0,43.4,55.4,1.2,1.77,22,0.0162,5.6,36,stable_mid
m_2044,62749,691070,8.0,99,37.72,12.23,0.324,21,28,36,45,60,74,91.31,4.23,42.05,34.5,8.01,0.65,0.0,28.3,70.1,1.6,1.67,41,0.0362,5.6,40,stable_mid
m_2045,60816,691190,8.0,102,40.83,16.15,0.396,20,29,38,49,74,90,89.8,6.1,41.39,34.5,8.3,0.58,0.0,25.8,68.5,5.8,1.95,160,0.0845,5.6,54,stable_mid
m_2046,58433,683110,7.91,105,42.21,10.9,0.258,27,34,41,49,61,74,91.31,3.53,46.16,39.39,8.3,0.71,0.0,11.3,87.2,1.5,1.49,11,0.0061,5.7,71,stable_mid
m_2047,63711,691190,8.0,98,40.49,12.1,0.299,24,31,39,48,62,76,90.66,4.3,46.36,37.12,6.69,0.6,0.0,18.8,79.3,2.0,1.59,33,0.0236,5.5,37,stable_mid
m_2048,61625,691070,8.0,101,42.93,13.39,0.312,25,33,41,50,68,83,86.82,10.61,45.38,39.66,6.51,0.68,0.0,14.0,81.4,4.7,1.66,8,0.0552,5.5,68,stable_mid
m_2049,54795,601310,6.96,99,8.66,17.48,2.018,0,0,0,0,48,61,18.83,33.37,0.28,0.23,1.17,0.0,78.7,3.6,17.4,0.3,48.0,2,0.264,5.5,27,bursty
m_2050,60376,691190,8.0,103,32.95,13.86,0.421,15,22,31,41,58,75,87.06,10.6,40.27,28.4,5.02,0.44,0.0,46.3,52.0,1.7,1.87,21,0.0332,5.7,46,stable_mid
m_2051,59131,684800,7.93,104,47.98,11.08,0.231,31,39,47,56,67,76,88.24,5.64,49.28,41.96,13.09,0.54,0.0,2.7,94.4,2.9,1.43,0,-0.001,5.4,72,stable_mid
m_2052,62290,691190,8.0,100,41.31,15.98,0.387,22,30,38,49,72,93,88.91,5.79,42.59,31.26,7.8,0.47,0.0,23.7,70.9,5.4,1.89,70,0.0659,5.7,56,stable_mid
m_2053,61567,689720,7.98,101,46.57,12.57,0.27,29,37,45,54,68,86,91.61,3.27,53.96,46.54,7.75,0.6,0.0,6.1,89.6,4.3,1.51,38,0.0209,6.1,46,stable_mid
m_2054,61994,691190,8.0,100,39.69,14.82,0.373,22,29,36,47,70,87,91.78,2.93,42.01,34.97,6.66,0.53,0.0,26.3,68.7,5.1,1.94,86,0.0623,5.9,33,stable_mid
m_2055,62151,691190,8.0,100,29.51,13.15,0.446,12,20,27,37,54,69,91.69,3.33,38.4,27.94,6.2,0.33,0.0,56.7,42.3,1.0,2.0,9,-0.0474,8.9,27,stable_mid
m_2056,61134,691190,8.0,102,4.98,1.32,0.265,3,4,5,6,7,8,88.79,0.62,23.5,17.93,1.09,0.0,37.4,62.6,0.0,0.0,1.4,0,0.0093,5.5,45,idle_pure
m_2057,62526,685820,7.94,99,27.49,12.7,0.462,11,18,25,35,50,66,90.55,3.96,38.7,27.78,6.69,0.4,0.0,62.0,37.2,0.8,2.0,13,-0.0326,5.7,27,stable_mid
m_2058,61631,691190,8.0,101,40.8,13.11,0.321,23,31,39,49,66,78,90.93,4.1,43.98,36.79,7.87,0.49,0.0,20.2,76.7,3.1,1.69,43,0.0059,6.3,45,stable_mid
m_2059,62202,691190,8.0,100,48.65,10.52,0.216,32,41,49,56,65,75,88.58,5.46,41.1,32.69,8.57,0.87,0.0,2.5,95.4,2.1,1.33,8,0.0062,5.7,38,stable_mid
m_2060,61761,691190,8.0,101,48.57,10.51,0.216,33,41,48,56,66,74,90.86,3.67,46.99,40.98,14.37,0.45,0.0,2.0,95.5,2.5,1.38,6,-0.0159,5.7,52,stable_mid
m_2061,62668,691190,8.0,99,40.26,14.83,0.368,22,29,38,48,67,91,88.68,5.26,46.44,36.06,7.6,0.48,0.0,25.5,70.3,4.2,1.76,115,0.0476,5.6,45,stable_mid
m_2062,62049,691190,8.0,100,35.93,12.05,0.335,19,27,34,43,57,73,91.84,3.48,43.9,35.43,7.37,0.99,0.0,33.1,65.7,1.2,1.68,63,0.0177,5.5,54,stable_mid
