machine_id,n_points,duration_s,duration_days,avg_interval_s,cpu_mean,cpu_std,cpu_cv,cpu_p5,cpu_p25,cpu_p50,cpu_p75,cpu_p95,cpu_p99,mem_mean,mem_std,net_in_mean,net_out_mean,disk_mean,mkpi_mean,pct_idle,pct_low,pct_mid,pct_high,burstiness,spike_count,trend_per_hour,max_gap_hours,n_long_gaps,profile,quality
m_4008,62729,691190,8.0,99,53.46,13.27,0.248,30,45,54,63,72,91,88.3,5.4,37.44,30.03,7.06,0.34,0.0,4.2,85.3,10.5,1.33,1,0.0198,5.7,36,stable_high,12.093190162181578
m_1515,62610,689990,7.99,99,50.09,10.26,0.205,34,42,50,58,67,75,89.11,5.88,50.86,47.36,8.66,0.89,0.0,1.2,96.1,2.7,1.34,2,0.0025,6.0,36,stable_high,12.07939252100256
m_3234,61883,691190,8.0,101,51.3,16.51,0.322,28,38,48,67,80,84,91.23,3.43,46.56,38.35,11.11,0.71,0.0,6.4,74.2,19.3,1.67,169,0.0943,5.5,36,stable_high,12.066033887677918
m_3328,64318,691190,8.0,97,43.36,11.78,0.272,26,34,42,51,65,74,91.89,3.34,44.64,37.06,10.78,0.72,0.0,11.5,86.4,2.1,1.55,2,-0.0194,5.7,9,stable_mid,25.643220712936614
m_3244,64589,690120,7.99,96,44.07,12.44,0.282,27,35,42,52,66,85,91.29,3.76,44.61,38.4,7.6,0.55,0.0,9.1,87.4,3.5,1.57,31,0.033,6.1,9,stable_mid,25.641629758053035
m_3267,63870,691190,8.0,97,44.87,13.34,0.297,26,35,43,54,68,78,89.84,4.59,48.93,39.56,8.34,0.69,0.0,12.0,83.6,4.4,1.58,83,-0.0051,5.7,9,stable_mid,25.6292414064719
m_676,63665,685900,7.94,97,37.88,12.52,0.33,21,28,36,46,61,74,91.08,3.69,46.72,35.57,7.48,0.5,0.0,28.3,70.2,1.5,1.69,0,0.0062,5.6,9,stable_mid,25.562811894203293
m_3634,63210,680090,7.87,97,46.31,11.72,0.253,29,37,45,54,67,77,91.12,3.43,45.74,37.42,9.46,0.7,0.0,5.1,91.6,3.4,1.49,36,0.0199,5.8,9,stable_mid,25.478467231245613
m_2366,64530,691180,8.0,96,40.8,13.49,0.331,21,30,39,50,65,75,90.43,3.85,73.86,65.68,5.25,0.2,0.0,22.5,74.9,2.6,1.67,17,-0.0188,5.7,10,stable_mid,25.14980201495606
m_4022,64082,688500,7.97,97,28.42,12.57,0.442,12,19,26,36,52,67,89.75,4.33,38.23,27.29,5.31,0.46,0.0,59.7,39.4,0.9,2.0,16,0.0108,5.7,10,stable_mid,25.105868794251567
m_1310,63288,681130,7.88,97,47.7,12.0,0.251,30,39,46,56,69,77,89.46,4.63,55.55,44.96,8.72,0.77,0.0,4.2,91.2,4.7,1.5,20,-0.0022,5.6,10,stable_mid,24.99093363472024
m_2014,64627,691190,8.0,96,37.09,14.96,0.403,19,27,34,44,65,90,90.0,4.49,50.25,38.37,5.96,0.42,0.0,34.0,61.9,4.1,1.91,6,0.0633,5.5,11,stable_mid,24.65280606479344
m_3330,65044,691190,8.0,96,43.09,12.26,0.285,26,34,42,51,65,76,91.6,3.44,54.14,46.64,7.63,0.81,0.0,12.7,84.8,2.4,1.55,36,0.0134,5.6,18,stable_mid,21.16566923407132
m_694,65042,691190,8.0,96,46.08,13.04,0.283,28,36,44,54,70,83,91.88,3.2,44.66,38.45,8.74,0.69,0.0,7.0,87.8,5.3,1.59,14,0.0584,5.7,18,stable_mid,21.1656077372384
m_2967,64788,691180,8.0,96,39.95,12.33,0.309,23,31,38,47,63,76,91.81,2.93,49.59,40.08,5.92,0.92,0.0,21.1,76.8,2.1,1.66,56,-0.0153,5.4,18,stable_mid,21.15778222968852
m_103,64676,691190,8.0,96,31.88,12.67,0.397,15,22,30,39,55,70,89.1,4.77,40.08,28.61,5.75,0.64,0.0,49.4,49.5,1.1,1.83,10,-0.0057,6.1,18,stable_mid,21.154321860852235
m_639,64659,691190,8.0,96,40.55,12.43,0.307,23,32,39,48,63,75,89.66,5.04,41.91,34.71,7.92,0.81,0.0,18.0,79.8,2.2,1.62,61,-0.0199,5.6,18,stable_mid,21.153796102558847
m_2165,64380,691190,8.0,97,42.11,12.29,0.292,25,33,41,50,64,76,90.75,3.77,51.15,41.48,8.15,0.38,0.0,15.1,82.5,2.4,1.56,96,0.0069,5.6,18,stable_mid,21.14514767501264
m_1914,63952,691190,8.0,97,7.01,2.63,0.375,4,5,6,7,14,15,83.57,0.77,25.74,20.91,5.48,0.03,7.0,93.0,0.0,0.0,2.33,0,0.0039,6.0,16,stable_low,22.131807435112798
m_2167,61167,691190,8.0,102,5.12,1.18,0.23,4,4,5,6,7,8,89.75,0.5,22.04,17.1,1.02,0.0,32.9,67.1,0.0,0.0,1.4,0,0.0033,10.1,18,stable_low,21.042758911872387
m_2375,62862,691190,8.0,99,5.22,1.03,0.197,4,5,5,6,7,8,81.26,0.77,21.58,16.87,1.06,0.02,21.8,78.2,0.0,0.0,1.4,0,0.0037,6.0,27,stable_low,16.597426068632313
m_1933,64049,691190,8.0,90,5.69,1.11,0.194,4,5,6,6,8,9,92.5,0.63,23.41,18.97,1.07,0.11,14.0,86.0,0.0,0.0,1.33,0,0.0047,26.1,28,stable_low,16.13483861464976
m_4025,62930,691190,8.0,99,11.65,3.09,0.266,7,9,12,14,16,17,58.39,2.03,9.47,12.78,2.69,1.0,0.0,100.0,0.0,0.0,1.33,0,0.0165,5.4,30,stable_low,15.099588334133799
m_2161,63187,691190,8.0,98,6.19,0.75,0.121,5,6,6,7,7,8,84.79,0.6,28.35,22.92,1.08,0.01,0.2,99.8,0.0,0.0,1.17,0,0.0038,5.5,36,stable_low,12.107739377377975
m_1173,62486,689920,7.99,99,6.75,1.51,0.224,4,6,7,8,9,10,86.63,0.7,17.33,13.13,1.09,0.06,6.9,93.1,0.0,0.0,1.29,0,0.0075,6.4,36,stable_low,12.075427628178986
m_3620,62675,691190,8.0,99,13.01,3.68,0.283,7,9,14,16,18,20,39.67,3.05,26.44,25.48,3.1,1.0,0.0,100.0,0.0,0.0,1.29,0,0.0151,5.6,37,stable_low,11.591467756448598
m_151,62160,681000,7.88,99,5.18,0.89,0.173,4,5,5,6,7,8,78.47,0.88,23.95,19.17,1.09,0.03,21.1,78.9,0.0,0.0,1.4,0,0.0059,5.7,37,stable_low,11.454966144856428
m_475,62200,691190,8.0,100,9.06,2.06,0.227,6,7,9,11,12,14,53.16,2.88,6.06,9.12,2.47,0.19,0.0,100.0,0.0,0.0,1.33,0,0.0202,7.0,45,stable_low,7.576252711536906
m_2849,37075,372230,4.31,90,0.0,0.02,1.799,0,0,0,0,0,0,3.0,0.0,0.01,0.01,0.0,0.99,100.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0,bursty,25.351450277991447
m_466,37026,371850,4.3,90,0.02,0.15,6.704,0,0,0,0,0,1,3.01,0.12,0.0,0.0,0.0,0.97,100.0,0.0,0.0,0.0,0.0,0,0.0007,0.3,0,bursty,25.33880531046562
m_1706,36459,371840,4.3,92,16.07,26.32,1.638,0,0,0,31,89,91,28.56,37.96,0.43,0.43,1.57,0.0,66.2,7.3,19.5,7.0,89.0,0,0.6731,0.9,0,bursty,25.307942096465307
m_2231,50175,524340,6.07,94,9.94,19.57,1.969,0,0,0,0,53,77,20.58,34.75,0.35,0.33,0.78,0.0,76.7,4.4,16.4,2.5,53.0,22,0.3312,5.3,9,bursty,23.21658420742016
m_1731,63536,691190,8.0,98,1.1,5.49,4.979,0,0,0,0,0,31,5.95,6.8,0.02,0.02,0.13,0.1,95.5,3.3,1.2,0.0,0.0,2,0.0332,5.6,20,bursty,20.118755384711424
m_2646,56291,606350,7.02,97,8.74,17.7,2.026,0,0,0,0,47,72,18.92,33.59,0.28,0.21,1.1,0.0,78.1,4.6,16.2,1.1,47.0,9,0.2523,5.8,18,bursty,19.896615416232915
m_3275,55507,608310,7.04,99,8.47,17.46,2.062,0,0,0,0,47,64,19.15,34.2,0.27,0.22,1.24,0.0,79.0,3.8,16.4,0.7,47.0,36,0.2526,7.6,18,bursty,19.888564866981802
m_689,57252,606910,7.02,95,8.72,17.73,2.034,0,0,0,0,48,68,18.81,33.49,0.29,0.27,1.05,0.0,78.3,4.4,16.4,0.9,48.0,5,0.249,5.6,19,bursty,19.430470643580573
m_2878,63714,691190,8.0,98,6.8,15.0,2.207,0,0,0,0,40,60,17.81,31.79,0.22,0.17,0.89,0.0,80.6,7.3,11.6,0.6,40.0,0,0.1709,5.6,24,bursty,18.12435058529276
m_3630,64164,688930,7.97,97,19.89,15.5,0.779,4,6,16,30,49,64,84.52,8.11,18.04,12.14,2.79,0.64,7.5,66.5,25.4,0.6,3.06,35,-0.0333,5.6,27,bursty,16.608426339357123
m_3985,63330,690310,7.99,98,1.32,6.4,4.841,0,0,0,0,0,35,6.08,10.09,0.02,0.02,0.2,0.59,95.5,2.3,2.1,0.0,0.0,2,0.0396,5.9,27,bursty,16.602260439381126
m_3268,63256,682580,7.9,97,0.02,0.14,7.259,0,0,0,0,0,1,4.94,0.41,0.03,0.01,0.02,0.28,100.0,0.0,0.0,0.0,0.0,0,0.0002,5.5,28,bursty,16.009922144805678
m_1766,55403,607610,7.03,98,9.05,19.37,2.141,0,0,0,0,49,90,18.67,33.26,0.31,0.24,1.1,0.0,78.9,3.9,15.1,2.1,49.0,1,0.2779,5.7,27,bursty,15.37481414458998
m_3555,55043,606230,7.02,99,8.58,17.24,2.009,0,0,0,0,47,59,18.76,33.22,0.3,0.25,1.1,0.0,78.8,3.2,17.8,0.3,47.0,0,0.2576,5.6,27,bursty,15.351776288770346
m_2107,54597,605780,7.01,100,9.28,19.84,2.137,0,0,0,0,50,89,18.77,33.12,0.27,0.22,0.93,0.0,78.6,4.3,14.5,2.6,50.0,46,0.2873,5.6,27,bursty,15.325505062050944
m_2049,54795,601310,6.96,99,8.66,17.48,2.018,0,0,0,0,48,61,18.83,33.37,0.28,0.23,1.17,0.0,78.7,3.6,17.4,0.3,48.0,2,0.264,5.5,27,bursty,15.282744955142562
m_3532,60467,668030,7.73,99,9.81,21.4,2.182,0,0,0,3,55,91,21.56,30.67,0.54,0.54,1.14,0.0,79.5,4.6,12.1,3.9,55.0,1,0.2546,5.6,29,bursty,15.249739156937196
m_3878,53987,599580,6.94,100,0.0,0.01,1.427,0,0,0,0,0,0,3.0,0.0,0.01,0.01,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0,0.0,5.4,27,bursty,15.233034157258345
m_1895,51995,607620,7.03,105,9.1,17.64,1.938,0,0,0,0,48,60,19.63,33.75,0.27,0.2,1.03,0.0,77.5,3.8,18.5,0.2,48.0,0,0.2798,14.2,28,bursty,14.747844143055822
m_1752,62091,691190,8.0,100,7.26,15.99,2.201,0,0,0,0,43,64,17.92,31.39,0.22,0.18,0.82,0.0,80.1,6.5,12.7,0.8,43.0,37,0.1879,5.5,31,bursty,14.572744870292667
m_950,59748,669300,7.75,101,7.25,15.36,2.118,0,0,0,0,41,59,17.64,32.16,0.23,0.18,0.66,0.0,79.4,7.3,12.8,0.6,41.0,5,0.193,8.4,31,bursty,14.245815466504055
m_633,56364,606710,7.02,97,8.96,18.01,2.01,0,0,0,0,49,65,18.2,32.35,0.28,0.22,0.99,0.0,78.2,3.6,17.6,0.7,49.0,1,0.2605,5.7,30,bursty,13.899207354957262
m_1564,60705,678480,7.85,101,1.21,5.66,4.67,0,0,0,0,1,32,6.44,7.1,0.02,0.02,0.13,0.16,95.3,3.2,1.4,0.0,1.0,0,0.0366,7.4,33,bursty,13.377595637900093
m_45,63030,682510,7.9,97,1.62,9.09,5.6,0,0,0,0,0,40,5.4,6.82,0.02,0.02,0.13,0.43,95.6,2.5,1.3,0.7,0.0,10,0.0497,5.5,35,bursty,12.502763895684382
m_1998,58774,691190,8.0,106,7.32,15.73,2.148,0,0,0,0,43,59,18.48,32.02,0.24,0.19,0.77,0.0,80.0,5.8,13.6,0.5,43.0,22,0.1998,13.8,36,bursty,11.962943746816542
m_2394,60814,691190,8.0,102,3.13,2.65,0.848,2,3,3,3,4,21,82.95,0.71,22.66,17.71,1.05,0.55,98.2,1.4,0.3,0.0,1.33,0,-0.0053,5.9,35,erratic,12.531183496105072
m_2193,60443,691190,8.0,103,19.52,14.18,0.726,5,7,16,29,46,59,86.19,6.63,18.7,12.64,2.79,0.6,4.1,71.6,24.0,0.4,2.88,3,-0.0171,6.7,62,erratic,-0.9810548089326971
m_2316,60189,691070,8.0,103,22.73,16.32,0.718,3,9,19,34,53,66,86.15,8.03,18.41,12.26,4.47,0.72,11.3,56.7,31.4,0.6,2.79,1,0.0491,6.5,73,erratic,-6.489476990916366
m_132,64340,691190,8.0,97,41.0,12.39,0.302,24,32,39,49,64,76,90.84,4.04,41.66,32.39,6.51,0.48,0.0,18.2,79.4,2.3,1.64,9,0.0288,5.5,18,stable_mid,21.14390468620614
m_2022,64298,691190,8.0,97,36.03,14.54,0.404,17,25,34,44,62,87,88.27,5.59,44.57,34.85,5.79,0.52,0.0,37.2,59.8,3.0,1.82,21,0.0232,5.7,18,stable_mid,21.142598716010486
m_1845,64191,691190,8.0,97,36.67,13.94,0.38,19,27,35,44,61,89,90.01,4.38,42.48,32.82,9.54,0.55,0.0,33.5,63.7,2.8,1.74,0,0.0333,6.4,18,stable_mid,21.139267742643217
m_628,64170,691070,8.0,97,46.94,12.57,0.268,30,38,45,55,69,87,90.95,3.99,45.58,37.47,10.65,0.84,0.0,4.7,90.5,4.8,1.53,24,0.0384,5.5,18,stable_mid,21.138613348458367
m_2871,64020,691190,8.0,97,40.77,13.37,0.328,22,30,39,49,64,80,91.36,3.45,50.63,38.99,6.87,0.63,0.0,22.3,75.1,2.6,1.64,115,0.0286,5.6,18,stable_mid,21.13393286704115
m_2632,64016,691190,8.0,97,33.23,12.15,0.366,17,24,31,40,56,71,90.16,4.29,41.83,31.02,5.5,0.55,0.0,43.7,55.2,1.1,1.81,7,0.0169,5.8,18,stable_mid,21.13380790413947
m_1867,64006,691190,8.0,97,47.04,11.03,0.234,31,39,46,55,66,74,91.14,3.84,46.21,39.54,8.75,0.81,0.0,3.1,94.3,2.6,1.43,0,0.0104,6.4,18,stable_mid,21.133495462721598
m_62,63906,691190,8.0,97,41.74,12.07,0.289,24,33,40,50,63,73,92.12,3.33,44.45,37.77,9.78,0.72,0.0,15.8,82.3,1.9,1.58,33,0.0095,5.6,18,stable_mid,21.130368361063535
m_974,63747,691190,8.0,98,33.01,12.86,0.389,16,24,31,40,57,73,90.64,3.84,41.12,30.12,5.13,0.41,0.0,44.8,53.8,1.4,1.84,6,-0.0046,5.6,18,stable_mid,21.125386179959047
m_823,63680,691190,8.0,98,42.33,11.62,0.275,26,34,41,50,63,74,86.0,7.5,47.97,37.92,18.58,0.75,0.0,12.7,85.3,2.0,1.54,11,0.0108,5.6,18,stable_mid,21.123283047825108
m_2228,63548,691190,8.0,98,34.2,12.53,0.366,18,25,32,42,57,71,89.35,5.15,40.33,30.18,5.93,0.67,0.0,41.3,57.6,1.1,1.78,7,-0.0025,6.6,18,stable_mid,21.119133081705133
m_1022,63358,691190,8.0,98,42.75,12.86,0.301,24,33,42,51,66,75,91.31,3.97,40.84,33.35,8.08,0.67,0.0,16.1,81.1,2.8,1.57,1,0.011,5.6,18,stable_mid,21.113144487070947
m_2436,64237,688790,7.97,96,27.5,12.39,0.451,12,18,25,35,50,66,87.29,9.73,37.66,26.84,4.97,0.42,0.0,63.3,35.9,0.8,2.0,3,0.0004,5.7,18,stable_mid,21.110700429771363
m_2103,64219,688890,7.97,97,33.92,13.21,0.389,17,24,31,41,59,76,91.26,3.5,36.21,26.56,6.68,0.42,0.0,44.3,54.1,1.6,1.9,36,0.0183,6.1,18,stable_mid,21.11013993528701
m_3866,63892,689400,7.98,97,44.2,11.99,0.271,27,35,43,52,66,75,92.14,3.2,45.07,37.82,12.85,0.6,0.0,9.7,87.5,2.8,1.53,42,0.0225,5.7,18,stable_mid,21.109930176398244
m_359,63561,690120,7.99,98,38.96,11.97,0.307,23,30,37,46,61,77,91.35,3.88,52.02,40.65,5.83,0.41,0.0,23.2,75.0,1.9,1.65,38,-0.006,5.5,18,stable_mid,21.10954217297325
m_230,63288,689990,7.99,98,44.32,12.26,0.277,27,35,43,52,66,77,91.71,3.59,44.09,36.68,9.77,0.72,0.0,9.5,87.3,3.2,1.53,42,0.0193,7.9,18,stable_mid,21.100933634720242
m_3399,62872,691190,8.0,99,33.56,13.28,0.396,15,23,32,42,57,73,90.52,3.72,41.34,30.06,5.7,0.52,0.0,42.4,56.3,1.3,1.78,6,-0.0095,6.5,18,stable_mid,21.097744195501978
m_3962,64196,687070,7.95,96,31.06,13.1,0.422,12,22,29,39,55,69,90.1,3.86,41.49,30.32,4.96,0.54,0.0,50.4,48.7,0.9,1.9,14,-0.0145,5.6,18,stable_mid,21.089423519228514
m_2249,63564,687470,7.96,97,34.03,12.78,0.376,17,24,32,41,58,73,90.65,3.81,36.12,27.44,5.93,0.61,0.0,42.2,56.5,1.3,1.81,36,0.0383,6.5,18,stable_mid,21.079636566768446
m_2644,62298,691000,8.0,100,35.37,11.8,0.333,20,27,33,42,57,70,89.65,4.33,40.95,32.74,4.9,0.78,0.0,36.1,62.8,1.1,1.73,3,0.0197,9.6,18,stable_mid,21.07940130656471
m_1834,63706,686110,7.94,97,4.08,0.75,0.184,3,4,4,5,5,6,88.19,0.95,21.01,16.56,1.05,0.03,73.6,26.4,0.0,0.0,1.25,0,0.0051,5.6,18,idle_pure,21.06409945126534
m_454,63921,685210,7.93,96,31.63,13.73,0.434,13,22,29,40,58,72,89.83,4.12,34.27,23.49,5.15,0.63,0.0,50.6,48.0,1.3,2.0,63,0.002,5.6,18,stable_mid,21.060837738124103
m_2900,64112,684600,7.92,96,39.79,13.21,0.332,22,30,38,48,64,79,90.83,3.69,47.63,38.42,7.45,0.51,0.0,23.8,73.7,2.6,1.68,86,-0.0159,5.4,18,stable_mid,21.0568048609166
m_337,63463,686050,7.94,97,43.25,13.67,0.316,25,33,41,51,68,88,90.35,4.53,47.2,33.97,6.86,0.41,0.0,14.0,81.4,4.6,1.66,41,0.033,6.5,18,stable_mid,21.05645618996368
m_1836,62715,687390,7.96,99,39.91,13.52,0.339,22,30,38,48,65,81,90.36,4.0,39.97,29.98,6.93,0.74,0.0,23.9,72.9,3.2,1.71,167,0.0062,5.9,18,stable_mid,21.052743754960684
m_656,64252,681000,7.88,95,46.22,12.12,0.262,30,37,44,54,68,80,90.55,3.53,46.08,36.93,10.44,0.46,0.0,4.8,91.0,4.2,1.55,4,0.0177,5.6,18,stable_mid,21.021167388548808
m_2614,62964,682500,7.9,98,38.83,11.73,0.302,23,30,37,46,60,76,91.8,3.54,40.26,30.96,6.88,0.41,0.0,23.0,75.2,1.8,1.62,69,0.0042,6.2,18,stable_mid,21.000668590879897
m_2981,63361,681000,7.88,97,46.18,13.46,0.291,28,36,44,54,72,86,91.66,3.2,41.11,32.17,7.49,0.62,0.0,6.9,87.4,5.7,1.64,1,0.0534,5.9,18,stable_mid,20.993239183293376
m_3081,62630,680080,7.87,98,34.21,15.69,0.459,16,24,31,41,62,92,90.41,4.08,41.34,30.45,5.64,0.4,0.0,44.8,51.1,4.1,2.0,6,0.0772,5.6,18,stable_mid,20.960031284362138
m_2307,63289,676810,7.83,96,15.98,4.61,0.289,8,12,18,19,22,24,45.1,1.32,12.41,16.13,2.77,1.0,0.0,100.0,0.0,0.0,1.22,0,0.0045,5.6,18,stable_mid,20.940965235538705
m_387,62546,676660,7.83,97,43.17,14.85,0.344,23,33,41,51,74,87,90.92,3.07,51.43,44.92,7.77,0.0,0.0,17.0,76.7,6.4,1.8,121,0.0534,5.5,18,stable_mid,20.917347106228334
